aagę	she did say
ahadeteˀtra:	he did powder himself
ahadiˀdahswahęhdrǫ:ˀ	they (male) scolded, reprimanded
ahadigahę:dęˀ	they (male) made a hole
ahadihadoda:goˀ	they (male) cut the forest right out
ahadihędohsga:ˀ	they (male) cleared the fields, land
ahadihsgwa:dahgoˀ	they (male) did geld it
ahadinaˀna:węht	they (male) wet it
ahadiˀnhahgyaˀk	they (male) cut the logs
ahadinǫhsgaiˀ	they (male) made) a riot
ahadiˀǫgwaę:ˀ	they (male) laid sod
ahadiyaǫgyaˀk	they (male) cut a tree down
ahadodaisi:	he got loose, escaped
ahadǫ:dęˀ	he is singing adlfwaj
aha:dǫ:goht	he went past
ahadohǫhdǫhai:ˀ	he did wash his ears
ahadǫhsweˀdęˀ	he will be short of breath
a:hado:wa:t	he should hunt
aha:do:wa:t	he did hunt
ahadowihshę:ˀ	he rested
ahadręnǫ:niˀ	he made a song
ahadrǫhyaˀdahk	he balked at the suggestion
ahaęnaga:nye:ˀ	he chanted, he trilled the music (ceremonial)
ahaęnahǫ:k	he heard music
ahaęnahsre:ˀ	he followed the song; he sang along
ahaęni:s	he made the song long
ahaę:nǫ:da:	he recorded songs or taped
ahaęnǫdahsǫ:ˀ	he recorded many songs
ahagadahgwaęhęhs	he did pawn
aha:gęˀ	he saw
aha:goˀ	he chose
ahagǫhe:k	he punched it
a:hagwe:niˀ	he was able to do it
ahagyena:waˀs	he helped me
a:hahaha:ˀ	he should or might come onto the road
ahahaha:ˀ	he went onto the road here
ahahdo:	he dived, he dove
ahahędaę:ˀ	refers to men they (male) won the throw in a betting game)
a:hahę:t	he might, could lead
ahahni:nǫˀ	he bought it
ahahsiyaǫ:nyahnǫ:ˀ	he is a fluid dancer
ahaihǫnyahnǫ:ˀ	he produced something (literally: he made or started the idea)
ahaihwa:is	he accomplished or completed a task (ie. a speech); he carried out a responsibility
ahajihgwaˀe:k	he punched it 
aha:k	he ate it
ahanaˀna:węht	he wet it
ahaˀnǫhgwaˀe:k	he beat the drum (barrel)
ahanohsga:ˀ	he notched it (tree, casket)
ahanǫhsgai:ˀ	he raised cain, had a tantrum
aha:nyoˀ	he killed (an animal)
ahaǫhyagˀędahk	it made him work hard; he laboured
a:ha:tęˀ	he would climb an object (tree, stairs etc)
ahatgaędaˀ	he pawned
ahatgǫhstǫˀęht	he shaved
ahatgwe:niˀ	he won a competition
ahathna:sǫˀ	he did oil himself
ahatnahsgǫniˀ	he raised a pet 
ahatwaˀehs	he went to stay there; he was taken in (he had no place else to stay)
ahawiyanęhsgoˀ	he stole a child, kidnapped
ahayagye:nęˀ	he fell over; refers to passing on
ahayęgwahsǫnyeht	he honoured them with tobacco
ahayętwa:goˀ	he did harvest
ahayętwahseˀ	he is/ is he going to plant over there
a:hayętwahse:k tsǫ:	let him keep planting
aha:yǫˀt	he scored; he brought it
ahdahgwaˀ	shoes
ahdahgwˀaǫ:weh	moccasins; shoe (the type put on a corpse at a funeral)
ahdahgwi:yoˀs	nice shoes
ahe:ˀ	he thought
ahęˀ	he said
ahe:dę:ˀ	I feel sorry for him
ahehihs	I bumped him (i.e. with a car)
ahęhsiˀdohai:	he did wash his feet
ahehswaˀne:dęˀ	I supported him
ahehswaˀneht	I agree with him, support him
ahehswaˀne:tˀa:ˀ	I supported him
ahehwawaˀs	I agree with him, support him
ahe:jęˀt	I fixed (literally: cured) him; I got even with him
ahęnadahnyo:ˀ	they (male) fished
ahęnadahnyohneˀ	they (male) are / are they going fishing
ahęnadę:nyoˀ	they (male) killed someone
ahęnadrihwahseht	they (male) hid their idea (i.e. schemed)
ahęnatahiˀta:ˀ	they (male) came to a consensus; they followed their idea; now they are ready to go (referring to the Confederacy Council)
ahęnatahsrǫdaˀnaˀ	they (male) went night-fishing
ahęnatahsrǫ:dęˀ	they (male) carried a torch, lantern, flashlight
ahęnatgwe:niˀ	they (male) won a competition
ahęnatgwęnige:	the big win, victory; (literally: they (male) won big)
ahęnatǫdahsro:niˀ	they (male) pruned (literally: fixed) the trees
ahęnatǫgyaˀk	they (male) cut the bush down
ahęnatǫwanę:da:k	they (male) docked a boat
ahę:ne:ˀ	they (male) thought; they left together
ahę:niˀ	they (male) said
ahęˀnigǫhoˀkdęˀ	he gave up (his will to live)
a:hęni:hę:ˀ	he would stop (himself)
ahęnǫ:da:ˀ	they (male) put them in
a:he:yeht	I should wake him up
ahe:yeht	I woke him up
ahgwę:ni:yǫt	hanging clothes
ahgwę:nyaˀ	clothing, clothes
ahgwę:nyaˀ gahaˀtaˀ	clothes dryer
ahgwęnyaę:dahkwaˀ	closet
ahgwęnyaga:yǫh	old clothes
ahgwęnyagehǫˀ	clothes lying around
ahgwęnyaseˀshǫ:ˀǫh	new clothes
ahgwih	don’t...
ahgwih ęhsatwihsdęˀda:ˀ	do not waste your money
ahi:ˀ	I thought, intended
ahodehęˀǫhs	a state of depression
ahodęhte:ˀah	tramp, hobo, vagabond
ahodi:nhiˀk	they (male) made a mistake
ahoˀdrehdahe:tgęˀs	his car broke down
ahodrihwaˀe:s	he was found guilty; he was accused
ahodrihwaˀgyaǫ	he had an accident
ahǫgwedanęhsgoˀ	they stole him (i.e. for another group); (literally: he was stolen)
ahohetso:goˀ	it tricked him (like the frog)
ahohsgęna:ˀ	he had a stroke
ahohsi:s	he was shot
ahǫhyagędahk	it made him work hard; he laboured
ahoihwaˀehs	she/he blamed him
ahonadrihwaˀgyaǫ:	they (male) had an accident
ahonakwęh	he became very angry
ahoneha:goˀ	he was amazed or surprised
aho:nhiˀk	he made a mistake
ahoˀnidodaehsęˀ	he farted
ahoˀnigǫhaędaˀ	he understood
ahonǫda:nhaˀ	he was found guilty
ahotwaji:yǫ:diˀ	he abandoned his family
ahǫwadahgwaęhęhs	they pawned (to him, them (male))
ahǫwadę:nyeht	he was sentenced; (literally: they sent him)
ahǫwadiˀdrǫˀ	they placed or elected him
ahǫwadi:gęˀ	they or she or he saw him, them (male)
ahǫwadigwe:niˀ	they won a competition; (literally: they beat him, them (male))
ahǫwadihnyadrę:ˀ	they hanged him, them (male)
ahǫwadihsaǫ:dęˀ	they committed him to the main fire (refers to sending a delegate to the Gaihwi:yo: convention)
ahǫwadihsre:ˀ	they chased or followed him
ahǫwadinǫhsǫnyęˀ	they (male) built him a house
ahǫwadiˀsgoˀ	they (male) have baptized him, them (male)
ahǫwaditsgo:dęˀ	they elected him, them (male)
ahǫwadiyaˀdagę:nye:ˀ	they raked him over the coals; (literally: they dragged him around)
ahǫwadiyadahe:	they gave him an operation
ahǫwadiyaˀdęˀda:ˀ	they burned the body, cremated him
ahǫwadi:ye:na:ˀ	they arrested, caught him, them (male)
ahǫwaęnanahkwaˀ	he took his song
ahǫwaęnanhǫda:goˀ	he took over the song
ahǫwaę:nǫˀ	someone gave him a song
ahǫwagwe:niˀ	they won, he won, she won a competition; (literally: someone beat him)
ahǫwagye:saht	he abandoned her; he left her
ahǫwahaǫ:dǫ:ˀ	they or she or he asked him, them (male)
ahǫwahe:	he slashed him with a sharp instrument
ahǫwahnyaˀdrę:ˀ	he hanged him
ahǫwahseht	he robbed him
ahǫwahsi:s	he was shot by someone
ahǫwaihǫdęˀ	they delegated him a duty
ahǫwanahseht	they robbed him, them (male)
ahǫwanahtga:ˀ	they released him, them (male)
ahǫwanyoˀ	someone killed him
ahǫwatgohowanahdęˀ	she raped, molested him
ahǫwęda:nyoˀ	someone beat him up, broke his spirit
ahǫwęnahtga:ˀ	they released him, them (male)
ahǫwenowahsǫ:dręˀ	he's right behind him
ahoyaˀdadidrǫgwahǫ:ˀ	it made him twitch
ahoyenahsǫ:ˀ	he had convulsions
aho:yǫ:diˀ	he smiled
ahsadadrihwagwe:nyaˀs	you are a success
ahsadadrihwahdo:t	you committed suicide (high language)
ahsagodi:ye:na:ˀ	they arrested, caught her
ahsagokwahkwaˀ	he grabbed the food from her
ahsagonahseht	they robbed her
ahsdeh	outside
ahsdeh heyęhdahkwaˀ	toilet
ahsdeh ǫdǫˀdahkwaˀ	toilet bowl
ahsdeh ǫdǫˀdahkwaˀ ohyadǫhsraˀ	toilet paper
ahsdehgeha:ˀ	outside type
ahsdehgeha:ˀ adekwahahsraˀ	picnic table
ahsdehka:ˀ akyędahkwaˀ	lawn chair
ahsdehka:ˀ ǫdawˀędahkwaˀ	outdoor swimming pool
ahsdehka:ˀ ǫdeˀsgǫdahkwaˀ	outdoor barbecue
ahsę niwahdahgwa:ge:	three shoes
ahse:gri:k	you wrinkled, fan-folded it; you made it smaller, shrank it
ahse:gwe:niˀ	you did succeed
ahsęh	three
ahsęh hadǫˀt	Wednesday (literally: the third day)
ahsęh hadǫˀtgęhę:ˀ	Wednesday (past)
ahsęh hęwa:dra:s	three times
ahsęh hodijihsdaę:ˀ	Three Fires Confederacy (Ojibwe, Potawatomi, Odawa)
ahsęh hǫwadijihsdę:ni:	they were given three fires (by him, them (male))
ahsęh naˀdewˀęnya:wˀe:	three hundred
ahsęh naˀdeyodogaǫdeˀ	triangle
ahsęh nęyo:da:ˀ	three days from now
ahsęh niga:gǫ: ga:gǫgweˀdase:	three young women
ahsęh nigahǫnaˀdage:	three potatoes
ahsęh nigahwihsda:ge:	three dollars
ahsęh niga:ya:ge:	three bags
ahsęh nigętseˀda:ge:	three quarts
ahsęh niwahshę:	thirty
ahsęh niwahshę: ahsęh	thirty three
ahsęh niwahshę: degrǫˀ	thirty eight
ahsęh niwahshę: dekni:	thirty two
ahsęh niwahshę: gei:	thirty four
ahsęh niwahshę: gyohdǫ:	thirty nine
ahsęh niwahshę: hwihs	thirty five
ahsęh niwahshę: hyeiˀ	thirty six
ahsęh niwahshę: ja:dahk	thirty seven
ahsęh niwahshę: sga:t	thirty one
ahsęh niwęˀnihsgaǫ:t	it has three wheels
ahsęh niyohǫnaˀdage:	three potatoes
ahsęh niyohsiˀdage:	three feet (measurement or body part)
ahsęh niyojihsda:ge:	three fires, lamps
ahsęh niyoyęhsra:ge:	three blankets
ahsęh skaeˀ	thirteen
ahsęh wadoˀtaˀ	third
ahsehsęnowanheˀ	you became famous
ahsge:gęˀ	you saw me (correction to workbook)
ahsgegęhęˀdęˀ	you got sick of me; you are bored with me
ahsgwaˀ	roof
ahsgwaˀgeh	on top of the house, roof
ahsǫh	still, yet, some more; More! (Said when you want someone to finish pouring a drink.)
ahsǫheh	night
ahsǫhehka:ˀ	night kind
ahsǫhehka: etihso:t	Moon Ceremony
a:hyayaˀdagenhaˀ	he would help you
ai:dwęnǫhdǫnyǫ:ˀ	we all (inclusive) should or would think about 
ajahǫhsgwa:gǫ:	in a whisper
aju!	exclamation; said when you touch something cold or hot
akda:gyeˀ	the edge; beside
akdǫhgwa:hǫh	I have a fever
ake:dę:	I feel sorry for her
ake:dę:ˀ	I felt sorry for her
akiyahtgaˀ	we let them go, released them
aknaˀehs	I have a stepmother
aknaˀgwaˀ	my wife
aknaˀkwęhs	something makes me angry
aknaˀkwęˀǫh	I am angry
akneˀdraˀdanih	I am nauseated, nauseous
akneganyohs	I have a hangover
akneha:gwahs	I'm always amazed
aknehagwaˀǫh	I am amazed
aknęhgwi:	I have moved it
aknę:tsaˀ	my arm
akniˀdreˀ	we two (exclusive) are dragging something; we are riding along
akˀnigǫhaędaˀs	I understand
aknigǫhagahe:ˀ	my mind got beat; I'm mentally exhausted
aknigǫhagahe:yǫh	I am mentally exhausted
aknigǫhahetgęˀs	I am crying, uncontrollably
akˀnigǫhahni:yǫh	I have a strong mind
aknigǫhake:yǫˀ	I have a tired mind
akˀnigǫhgahęhs	I am running out of patience; I am impatiently waiting
akˀnigǫhsa:dǫˀs	I am lonesome
aknigowa:nęh	we two (exclusive) are big 
aknihnę:ye:s	we two (exclusive) are tall 
aknihsa:s	we two (exclusive) are looking for it
aknihsgoˀǫhǫ:gyeˀ	I am arriving late
aknihsrǫnyahnǫh	we two (inclusive) are making several things
a:knikǫ:ˀ	I should, might sew
akni:kǫˀ	I have sewn
akniˀnhǫhda:grahs	we two (exclusive), our armpits smell 
akninoˀjo:t	we two (exclusive) have teeth
akni:yǫ:dęˀ	I did hang it up
akni:yǫ:t	I hung it up
aknǫˀa:ˀgeh	on my head
aknǫˀa:nǫhwa:s	I have a headache
aknǫda:hǫh	I have put gas in
aknǫhaˀ	I am unable
aknǫhǫkda:nih	I am sick
aknǫhsaędǫˀ	they (female or mixed group) have several houses
aknǫhsagaˀdeˀ	I have many houses
aknǫhsdeˀ	I value it
aknǫhso:dǫˀ	I have several houses; I have put up several houses
aknǫhso:t	I have a house
aknoˀjanǫhwa:s	I have a toothache
a:knǫnheht	I would fill
aknǫˀseh	I am lazy
akno:shę:	I am envious
aˀknǫwa:k	I did get hungry for it
aknyǫhsagaˀdeˀ	I have many squash
akǫˀjihneˀ	I got dark, black (really tanned)
akre:ˀ	I cut it
akręˀ	I put it some place
aˀkręˀda:	I did burn it
akre:nęh	I did cut it
akyędahkwaˀ	chair
akyędahkwaˀgeh	on the chair
akyędahkwaˀgęhę:ˀ	former chair, it used to be a chair
akyędahkwaˀgwe:gǫh	all the chairs
akyędahkwa:ˀkˀah	beside the chair
anahaotraˀ	hat
aˀo:daˀ	it slept
aˀǫdadahǫ:dǫ:ˀ	she asked her
aǫ:dagiˀdrǫ:daˀk	I should have stayed at home
aˀǫdahaǫ:dǫ:ˀ	she asked
aǫdahǫhdohai:ˀ	she did wash her ears
aǫdatgę:	dead tree
aǫdatgwe:niˀ	she won a competition
aˀǫdawęˀneˀ	she is / is she going swimming
aˀǫdehęˀǫhs	she became a widow
aǫdejiˀohgyak	she did cut her nails
aˀo:de:k	it did burn
aˀǫdęnaˀtragwahaˀ	she went after groceries
aǫdeteˀtra:	she did powder herself
aodihetsogoˀ	it did tricked them (animal) (frogs)
aˀǫdoihsręht	she did breathe (i.e. when she was born)
aˀǫdowihshę:ˀ	she rested 
aˀǫdowihsręht	she did breathe (i.e. when she was born)
aˀoˀdrehdaˀde:k	the car did burn
aˀǫdręno:niˀ	she made a song
aoˀdrihwagyaǫ	it had an accident
aˀogahgwęˀdrǫ:diˀ	it snowed
aˀogahojade:k	the grass burned; a grass fire
ao:gaˀt	it is rough
aˀo:gęˀ	it saw it
aˀǫge:gęˀ	she might see me
aǫgęhsrǫ:t	pocket, kangaroo
aǫgohdǫˀ ohdrǫhk	it is extremely dangerous
aǫgohdǫh	exceptional, above average; too much
aǫgohdǫh one:nǫˀ	it is exceptionally hot (weather)
aǫgohsrǫ:t	pocket, kangaroo
aˀǫgwaˀhnye:nęˀs	we all are experiencing the passing of a chief
aǫgwanhiˀk	we all made a mistake
aˀoˀgwa:t	it dug
aˀohada:de:k	the forest burned
aˀohdaˀ	it (animal) got full (finished eating)
aǫ:hę:ˀęh	the most
aǫhę:ˀęh otahyǫ:ni:	one lone wolf
aǫhkwat	it is itchy
aˀohnaˀde:k	the oil burned
aǫhnyagǫ:	in the river flats
aˀǫhǫda:de:k	the brush burned
aˀohsdagwaę:	it got dirty or soiled
aǫhsiˀdohai:	she did wash her feet
aˀǫhwęjęˀ	landslide
aǫhyaę:ˀ	blue
aǫhyaętraji:	dark blue, purple
aǫhyagę:t	light blue
aˀǫkinę:tsa:ˀ	a nation-to-nation invitation (preceded by a speech; high language)
aˀonadrihwagyaoˀ	they (animal) had an accident 
aˀǫnagra:t	birth; (literally: someone was born)
aˀonhiˀk	it was a mistake; accidental
aˀǫniˀde:niˀ	she farted
aˀǫnihshe:ˀah	a short duration
aˀonǫhsa:de:k	the house burned
aonrahda:tgęh	rotted leaves
aˀosdaǫdiˀ	it rained
aǫ:t	it is attached; it is sticking out
aˀǫtahitaˀ	she went on the heavenly road (refers to a woman who is done with this world)
aˀǫtehtgęht	someone turned funny (moody, etc.)
aˀotga:i:	it made a noise
aˀo:tgęh	it became spoiled, rotten
aˀǫtgwe:niˀ	she won a competition
aˀotsihsdęh	it got numb
aˀǫtsohih	she bit it
aˀǫtwaˀehs	she is a transient
aˀowaˀnę:da:ˀ	it is stuck
aˀowaˀnę:da:ˀk	it is stuck
aǫˀwesah	it is enjoyable; a good feeling
aǫˀwe:saht	a happy, glad feeling, pleasant
aǫˀwesaht	it is enjoyable; a good feeling
aǫˀwe:sęh	it is enjoyable; a good feeling
aǫˀwe:sęht	it is enjoyable; a good feeling
aǫyędehteˀ	it emerged unintentionally
asadahgwaę:ˀ	you did store it
a:sadenyagwaht	you should make yourself vomit
a:sadǫhwi:daˀt	you will swing
asa:dwę:deht	you forfeited
asagyeniht	you got enough
asahdǫˀt	you lost it; you DID lose it!
a:sahsdaę:ˀ	you might cry
asahtgehda:t	you put it on now
asajohai:	you did wash your hands
asa:sdi:s	you did pay attention
asatgahatgiht	you give dirty looks
asatgwe:niˀ	you won a competition
asatiˀyaˀk	you held a grudge
asatnętsadahgoˀ	your arm came out of its socket
a:se:ˀ	it is fresh, new
aseˀ	a vegetable
aseˀ onęhęˀ	corn (only usage for singular asé')
a:se:gęˀ	you should see it
ase:gęˀ	you saw it
asehsęnǫ:niˀ	you did store it
a:se:k	you should eat
asęnˀewaˀge:	you are really surprised, shocked
asęnowaę:ˀ	you are squatting
ase:sdęht	you did take the scales off (the fish)
ase:ˀshǫ:ǫh	fresh (foods)
aseˀshǫ:ˀǫh	vegetables
asetsahniˀk	you are afraid
a:sgęnǫhgęhęk	I hope you (all) will be well
ashagodigǫnyǫhs	they honoured her
ashagodihenyahnǫ:ˀ	they (non-feminine) cut up someone
ashagodihnyadrę:ˀ	they hanged her
ashagodwęnayęhdahnǫ:ˀ	you (literally: he) really lambasted them, repeatedly hit them with words
ashagodwęnayęht	he lambasted, denigrated her / them
ashagohnyaˀdrę:ˀ	he hanged her
ashagoho:wiˀ	he told her
ashagohseht	he robbed her
ashagohya:nǫ:t	he gave her fruit
ashagonǫhsǫ:niˀ	he built a house for her
ashagonyoˀ	someone killed her
ashagotgowanahdęˀ	he raped her; (literally: he forced her in a big way)
ashagotgowanahdęˀ shagoha:wahk	incest (literally: he raped his daughter)
ashagowiyanęhsgoˀ	he stole or kidnapped her child
ashegǫnyǫhs	you honoured her
ashe:has	you did serve her
ashehdehnyęht	you did flip someone over
a:sheyatgowanahdęˀ	to rape a woman (check translation, spelling)
aske:jęˀt	you cured me; you got even with me
a:snˀadaǫniˀ	you should make bread
asnaˀnaˀwęht	you wet it
asnętso:dęˀ	you put on its arm (i.e. on a doll)
asohaę:ˀ	you have attached it
asrihwaˀehs	you are blaming something
asrihwi:yohs	you became a Christian; you converted to Christianity
ata:daˀ	he stood up
atadadi:trahk	Roll Call Chant (literally: He Picked Up The Cane)
ata:dahs	he stopped it, prevented it
ata:dęˀ	he took off (from the ground)
ata:de:niˀ	he changed something
atadihędosga:ˀ	they (male) were pioneers 
atadihnyoda:	they (male) had the tug o' war
atadiyaǫdaˀtrenahnǫ:ˀ	they made an incision in a cadaver
atadiye:naˀ	they (male) did it together (i.e. accomplices)
atadrihwahęˀ	he went afoul of the law; he did something wrong
atadrihwa:tsˀa:ˀ	he earned it; he fulfilled it
ataęnade:niˀ	he changed the song
atageˀdrehdaˀehs	he hit my car
atahędiya:k	he went across the field
atahehdawę:nye:ˀ	he hoed, tilled the earth
atahyahk	he picked up the fruit
atatgręgręht	he frowned
ataˀtkwaˀ	dryer
atatnęhsę:dǫh	he shrugged
atatnętsi:yak	he broke his arm
ateˀdrehdaˀehs	I hit his car
atehsehsi:nyaˀk	you broke his leg
atęnadraˀsroiˀa:k	they (male) tested or tried their luck
atęnahdahgwaę:ˀ	they (male) played horseshoes (a game); moccasin game
atęnahso:we:k	they put shoes on a horse
atęnatnętsi:yak	they (male) broke their arm
atę:nęǫˀ	they (male) raced
atgadadehsˀohdahiht	I smashed my finger
atgadiye:naˀ	they (animal) did it together (i.e. accomplices)
atgaeye:naˀ	they (female or mixed group) did it together (i.e. accomplices)
atgahnyehtraˀ	sports, games
atgajiˀdagai:	there was whining, crying, repetitive complaining
atgakeyaˀdahk	I picked them up
atgaǫ:draˀ	they (male) met
atgaǫgrihwaˀehs	they wanted a report
atgaǫtnętsi:yak	they (female or mixed group) broke their arm
atgatgahawęnye:ˀ	I had blurred vision
atgathnǫhsahsnyeˀ	I did clean up the house
atgatnętsi:yaˀk	I broke my arm
atgehk	I picked something up
atgęnatnętsi:yak	they (animal) broke their arm
aˀtgęnętsaǫ:nyǫ:ˀ	I waved my arms
atgęninyaˀgyaˀk	I burped, belched
atgǫhsgwaˀtraˀ	a window
atgǫhsgwaˀtraˀ ǫtgahtwahtaˀ	mirror
atgo:wę:ˀ	I split it open
atkehdawęnye:ˀ	I hoed, tilled the earth
atnaˀgwihdraˀ	belt
atnaˀgwihdraˀ ǫdoda:taˀ	suspenders
atnaˀtsotraˀ	pants
atodanihsaˀe:k	he got cornered, up against the wall with no recourse
atǫdęˀǫ:ˀ	the act of hearing
atodewane:ga:ˀs	he got a flat tire
atodˀidraihęˀ	they (male) hurried
atodihwaę:daˀ	they (male) came to a decision or conclusion
atohe:t	he hollered or yelled
atohsiha:ˀs	he did choke
atoihwaę:daˀs	he came to a decision or conclusion
ato:stro:k	he had a stroke
atǫwadihstoda:ˀ	they handcuffed him, them (male)
atǫwaˀęnaˀehs	he speared him with a stick
atǫwanyaoha:k	someone squeezed his neck
atowayę:ni:yaˀk	it broke his spirit
atǫwi:s	sustenance songs
atǫ:wi:sę:ˀ	Seed Blessing Songs
atrǫniˀdaˀ	clothes
atsa:dǫ:goht	you went across; you have completed something
atsahkyohsgwi:	you did crawl
atsatnętsi:yak	you broke your arm
atsatnętsiyaksǫh	you broke your arms
atsęˀnya:ˀ	you looked after it
atshoˀkdǫhsraˀ	hoe
atsnǫwayęht	you have bartered
atso:gęˀ	calendar
atsokwahdaˀ	big-headed sucker
atswaˀehs	you all pierce
awadadrihwadǫˀt	suicide; (literally: someone did away with themselves)
awadadri:yoˀ	it killed itself; suicide
awadadwę:deht	it (i.e. a pet) forfeited (its life)
awadagwa:s	it got bruised
awadahǫ:dǫ:ˀ	it asked
awadahǫhdohai:ˀ	it washed its ears
awadahyoˀkdęˀ	the berries have run out, they are no more
awadanukdanǫ:	Medicine Dance (Seneca)
awadedrehdagahatoˀ	a vehicle was turned over
awadęhnidoˀkdęˀ	end of the moon; last quarter
awadehsiyo:goˀ	it frayed
awadehstoˀdręht	it moulted
awadejiˀohgyak	it did cut its nails
awadeteˀtra:	it did powder itself
awadetgiht	it was bad weather, stormy
awadewa:dahgoˀ	it deflated
awa:dǫˀ	it has become; it became
awadoˀkdęˀ	it has ended; the end
awadˀǫne:k	it did move away
awadratsǫ:	it got torn, ripped
awadręnǫ:niˀ	it made a song
awadrihgwahdǫˀ	an eclipse( took place); (literally: the moon got lost)
awadriho:dęˀ	Northern Lights
awadrihwagyaǫˀ	there was an accident
awadrihwahdǫˀ	it died out, faded away (an idea)
awadwęno:dęˀ	it did bay, howl
a:wagahyagwęhagyeˀse:k	I would still have been picking fruit
a:wagahyagwęhęgyeˀ	I should be picking fruit along
a:wagahyagwęhęgye:k	I should have been picking along
a:wagahyagwę:k	I should have picked fruit
a:wagatrowihagyeˀse:k	I should be telling it around or about
a:wagęnǫhdǫ:k	I should know
awaˀgrana:węˀ	the snow melted
awaˀgranęhtge:	avalanche (of snow)
awˀagranhohsro:dęˀ	it piled snow there
awagyadawihsiˀ	it shed its skin (a snake)
awagyaˀdohai:ˀ	it washed its body
awahdęgoh	it swelled up
awahdǫ:	a loss
awahdo:k	it sprouted
awahetgeˀ	it got no good
awahsgˀędro:dę:ˀ	it got mouldy; it got rusty
awahstwaˀ	it shrank it
awahstwaht	it shrank
awahtgaˀ	it let go
awahyai:	it ripened
awahyęˀ	fruit fell down
awahyę:daˀ	the berry season is over
awahyęht	it knocked the fruit down
awahyǫ:dęˀ	the fruit is coming on, is setting
awa:sdehs	it evaporated, dried up, boiled dry
awatęhdaęˀt	they shed their fur
awatehgyaˀk	it did erode
awatgahiˀt	it played with it
awatgęˀę:k	a flash, glimpse
awa:tgęh	it got up
awatgwe:niˀ	it won a competition
awathnegęˀgoˀ	water rose or swelled
awatǫgai:	it did stiffen up
awa:tsˀa:ˀ	it is worn out, all gone, burnt up; it went down to nothing
awatsihsˀa:ˀ	it did mature (as in plants); it completed its life-cycle
awatsihsę:ˀ	it ripe(ned) for harvesting
awatwaˀehs	it stayed there (i.e. a stray dog)
awayǫ:gyǫ:	it is drizzling; misty rain, fine rain
awęˀ	it is said
awędadogęhdǫh	Sunday
awędędaˀǫh	Monday (literally: the day got finished)
awędęnawę	it got wet
aweˀgehya:t	Top of the Water (Onondaga Chief Title)
awęhęˀ	flower
awęheˀgo:wah	eagle
awęˀhę:gyeh	let it go, release it! (short form of hvgyctslf)
awęhęˀshǫ:ˀǫh	a variety of flowers, plants
awęhnodǫˀ	flood; it flooded
awęhoˀdaˀ	sweet flag
awęhsga:ˀ	it took off fast (i.e. a car, a dog)
awęhsiˀdohai:	it washed its feet
awęnahoˀdę:	soft kind words
awęˀnahsaˀ	tongue
aˀwęniˀde:niˀ	it farted
awęnihna:do:k	it sensed something
awęnohgraˀ	weeds
awęnowaę:ˀ	it sank
awe:tˀa:ˀ agihe:yǫ:	I'm pretending I am dead
a:we:tˀah	implied; pretend
a:we:tˀah tsǫ: dęsaˀtsǫhs	pretend to sneeze!
a:wetˀahshǫ:ˀǫh	make-believe, pretend
awęˀyohga:ˀ	thumb
awęˀyǫhga:yęht	one minute
awęyǫhsaˀ	heart
a:yagonadrihwagyaǫˀ	they (female or mixed group) might have an accident
a:yagwadahnyo:ˀ	we all (exclusive) would fish
a:yagwahsę:nǫˀ	we all (exclusive) should give it a name
a:yakhne:ˀ	we two (exclusive) would go together
a:ya:węh	I wish, hope
a:yesayˀadagenhaˀ	she would help you
a:yetsęi:ˀ	she might find it
a:yo:daˀ	it would sleep
a:yǫda:wę:ˀ	she might swim
a:yonadrihwa:gyaǫˀ	they (animal) might have an accident
da	here; does not occur alone
da:	here
da gwa:dih	over here, this side here
da: hǫweh	this is where
da: ne:ˀ	that it
da: ne:ˀ hniˀ	that also
da: ne:ˀ o:nęh	and now that
da: neˀ toh	that is all
da: nę:dah	now this also
da: onęh	and now
dadra:tęh	climb (over here)!
daga:di:yoˀ	they (animal) came in
daga:gwi:tgęˀ	sunrise; the sun did rise
dagahwajiyada:gyeˀ	they (literally: it) come(singular) from the same family line
da:gaǫ:węhda:t	they (female or mixed group) might run
da:gatnę:tsi:yaˀk	I might break my arm
dagayagęhdahk	it came out (suddenly)
da:geˀ	I am coming
dagegageh ganǫhse:s	Onondaga Longhouse
dagęhya:t	Upper End (literally: top of the mountain)
dagę:neˀ	they (animal) are coming
dagenętsǫˀne:k	I withdrew my arm (i.e. withdrew my support)
dago:s	cat
dagu:jih	kitten
da:gu:s	cat
dagu:s gadinrahda:s	catnip
dagu:sgo:wah	big cat; tiger
da:ha:dahs	he would try and stop something
daha:di:yǫˀ	they (male) came in
dahahaha:ˀ	he came onto the road back there
dahęhsga:ˀ	he squealed out; took off abruptly
dahonadręnoda:gyeˀ	they (male) are singing as they are approaching
dahǫwakyędahkwahagwaht	someone knocked him out of his chair
dajǫh	come in!
dakshae:ˀdohs	chicken
dakshaeˀdohs ganyo:ˀ oˀwahǫh	pheasant meat
dakshaeˀdohs odinǫhso:t	chicken coop
dakshaeˀdohs oˀwahǫh	chicken meat
dakshaeˀdohsgeha:ˀ	Chicken Dance
dao:dogęhe:gyęˀ	it sprouted
daoˀgahneˀ	early night is coming
dao:gyeˀ	it is coming, floating along (in the water)
dao:sawa:gyeˀ	it is beginning or starting
dasadenyę:dęhs	copy! compare!
dasahtgaˀ	you donated
dasa:snęht	come on down!, get down from there!
dasatsohih	you (singular) bite!
dase:gri:k	wrinkle, fan-fold!
